Analysis,Reference,Sample_number,Latitude,Longitude,Formation,Final207_235,Final207_235_Prop2SE,Final206_238,Final206_238_Prop2SE,ErrorCorrelation_6_38vs7_35,U238Pb206,U238Pb206_error_2s_abs,Pb207Pb206,Pb207Pb206_error_2s_abs,ErrorCorrelation_38_6vs7_6,FinalAge207_235,FinalAge207_235_Prop2SE,U238Pb206_age,U238Pb206_age_error_2s,FinalAge207_206,Pb207Pb206_age_error_2s,Approx_U_PPM,Approx_Th_PPM,Approx_Pb_PPM,Final_U_Th_Ratio,Si,P,Ti_ppm_m47,Ti,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg202_CPS,Pb_ppm_m204,Pb_ppm_m206,Pb_ppm_m207,Pb_ppm_m208,Th,U,Hf176Hf177,Hf176Hf177_error_2s,Lu176Hf177,U/Pb AGE,Hf Chur (t),Hf DM (t),Hf NC(t),Hfi,epsilon,2s,T(DM)_crustal,T(NC)_crustal
MK6_HQ_01_1,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.056,0.16,0.2846,0.0052,0.26434,3.513703,0.06419978,0.1015,0.0035,0.39223,1643,32,1614,26,1661,64,174.4,105.7,778,1.646,127000,221,627,8.7,678,Below LOD,9.11,0.037,0.77,1.64,0.192,13.01,4.61,57.2,22.39,106.9,21.96,203.6,40.27,10150,48,Below LOD,196.2,21.93,15.01,105.6,181.6,,,,,,,,,,,,
MK6_HQ_01_10,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.648,0.16,0.2802,0.0056,0.47065,3.568879,0.07132664,0.0949,0.0036,0.23392,1562,35,1592,28,1516,70,136.2,107.6,776,1.266,136300,245,661,Below LOD,765,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,61.4,Below LOD,122.2,Below LOD,266.6,Below LOD,10650,93,Below LOD,141.3,Below LOD,Below LOD,101.2,134.4,,,,,,,,,,,,
MK6_HQ_01_100,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.884,0.15,0.2822,0.0055,0.32941,3.543586,0.06906351,0.0993,0.0033,0.42937,1609,32,1602,28,1619,62,379.8,236.6,1643,1.581,137500,550,634,7.3,1490,2.48,30.1,1.06,7.3,5.28,1.33,25.9,9.02,117.6,47.7,230.6,51.1,528,107.7,8720,60,Below LOD,397.4,43.4,31.62,220,370.3,,,,,,,,,,,,
MK6_HQ_01_101,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.889,0.15,0.2939,0.0061,0.26926,3.402518,0.07062048,0.0968,0.0034,0.50596,1612,33,1660,30,1555,68,157.9,122.2,916,1.288,135300,261,651,9.2,796,Below LOD,20.78,Below LOD,0.75,2.08,0.306,12.83,4.99,64.2,25.61,123.4,26.71,266.6,53.16,10510,72,Below LOD,174.2,18.76,17.71,115.5,157.5,,,,,,,,,,,,
MK6_HQ_01_102,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.95,0.17,0.2883,0.007,0.58122,3.468609,0.08421874,0.0999,0.0038,0.11687,1623,36,1632,35,1633,69,106.7,110.5,785,0.958,134000,297,648,9,964,Below LOD,25.61,0.062,1.33,2.79,0.946,17.29,5.87,79,31.62,155.2,33.89,343.7,70.9,9200,94,Below LOD,111.8,12.11,15.23,102,104.7,,,,,,,,,,,,
MK6_HQ_01_103,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.23,0.18,0.2937,0.0055,0.39948,3.404835,0.06376095,0.1042,0.0041,0.080634,1675,35,1662,27,1690,71,121.8,150.9,1130,0.8032,134000,214,644,2.68,681,Below LOD,30.01,0.0209,0.54,1.78,0.291,11.12,3.88,52.45,21.84,107.2,24.35,254.8,53.93,10350,88,Below LOD,131.9,15,21.51,136.7,117.4,,,,,,,,,,,,
MK6_HQ_01_104,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.689,0.14,0.282,0.0055,0.39532,3.546099,0.06916151,0.0952,0.0032,0.36093,1568,30,1601,27,1538,63,302,284.8,1927,1.053,136000,392,650,8.4,1199,0.089,26.35,0.229,2.97,4.72,0.773,25,8.42,102.7,39.36,185.5,38.6,374.8,74.1,10160,57,Below LOD,302.8,31.79,35.78,255.1,285.5,,,,,,,,,,,,
MK6_HQ_01_105,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.143,0.17,0.2952,0.0057,0.65766,3.387534,0.0654097,0.1027,0.0033,0.085554,1662,33,1667,29,1668,59,327,214,1569,1.521,134000,208,640,7.6,734,Below LOD,17.76,0.039,0.77,2.1,Below LOD,13.86,5.01,63.2,24,111.5,22.99,214.9,40.84,10970,34,Below LOD,339.9,38.03,28.57,188.7,302.6,,,,,,,,,,,,
MK6_HQ_01_106,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.73,0.16,0.2856,0.0072,0.56227,3.501401,0.0882706,0.0971,0.0034,0.35374,1578,35,1618,36,1565,68,128.1,86.5,602,1.442,134100,490,647,13,1085,Below LOD,19.63,0.057,1.3,2.99,0.54,18.6,6.95,90.5,36.1,172,38.2,379,73.9,10590,73,Below LOD,130.1,14.11,11.72,80,124.2,,,,,,,,,,,,
MK6_HQ_01_107,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.164,0.17,0.2891,0.007,0.44428,3.459011,0.08375329,0.1041,0.0039,0.33815,1669,33,1636,35,1695,70,99.8,78.8,581,1.257,131900,229,639,9.9,866,Below LOD,19.83,0.0364,0.8,2.63,0.572,15.78,5.71,74.4,28.79,135.4,28.55,267.6,52.61,9870,68,Below LOD,103.8,11.91,11.04,72.2,96,,,,,,,,,,,,
MK6_HQ_01_108,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.76,0.17,0.2838,0.0067,0.088773,3.523608,0.08318596,0.0958,0.0041,0.48106,1583,35,1613,34,1550,83,77.37,76.1,533,1.02,135500,262,653,8.2,926,Below LOD,16.63,0.048,1.18,2.94,0.778,16.32,5.62,73.7,29.66,149,32.09,319.5,67.2,8960,90,Below LOD,82.6,8.71,10.48,72,77.2,,,,,,,,,,,,
MK6_HQ_01_109,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.28,0.098,0.2076,0.0045,0.32253,4.816956,0.1044138,0.0801,0.003,0.29738,1206,29,1218,23,1191,73,153.2,110.8,600,1.382,133200,211,657,13.9,565,Below LOD,11.37,0.039,0.93,1.75,0.2,10.81,3.78,48.6,18.13,87.7,17.9,178.1,34.59,10060,57,Below LOD,110.5,9.7,11.04,96.3,141.5,,,,,,,,,,,,
MK6_HQ_01_11,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.21,0.19,0.275,0.008,0.77614,3.636364,0.1057851,0.1101,0.0036,0.07747,1676,39,1569,41,1802,63,293.5,197,824,1.529,140100,978,680,22.7,2244,0.371,10.1,1.31,13.4,17.5,5.07,75.2,19.6,209,72.7,326.9,64.7,609,116.2,11520,113,Below LOD,294.3,35.93,14.71,185,283.6,,,,,,,,,,,,
MK6_HQ_01_12,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.99,0.17,0.2885,0.0061,0.22003,3.466205,0.0732889,0.1,0.0041,0.38659,1634,36,1633,30,1617,79,102.9,131.9,979,0.772,135100,256,677,11,1646,0.025,26.06,0.314,5.66,9.05,2.56,41.6,12.86,152.7,54.5,244.3,48.2,456,88.7,8550,30,Below LOD,111.3,12.17,17.85,125.4,102,,,,,,,,,,,,
MK6_HQ_01_13,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.178,0.17,0.3007,0.0061,0.37992,3.325574,0.06746259,0.1017,0.0037,0.35764,1676,32,1694,30,1660,67,137.6,99.1,766,1.385,134800,186,656,9.6,469.3,Below LOD,15.94,Below LOD,0.7,1.2,Below LOD,8.31,3.08,39.7,15.15,72.6,14.88,143.7,28.3,10040,65,Below LOD,151.2,17.08,13.95,92.6,133.5,,,,,,,,,,,,
MK6_HQ_01_14,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,5.06,0.22,0.3288,0.0084,0.62276,3.041363,0.07769904,0.1116,0.0041,0.16331,1826,36,1836,42,1814,67,107.2,57.5,469,1.861,136400,186,662,12.2,385.1,0.021,5.25,0.055,0.58,1.42,0.256,7.58,2.47,31.71,12.52,58.7,12.43,121,23.47,9950,119,Below LOD,128.2,15.67,8.37,52.1,101.6,,,,,,,,,,,,
MK6_HQ_01_15,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.03,0.17,0.2907,0.0054,0.36833,3.439972,0.06390042,0.1011,0.0036,0.26214,1640,35,1645,27,1645,66,171.9,93.5,725,1.815,136100,236,669,7,624,Below LOD,7.54,0.0198,0.572,1.74,0.135,10.62,4.05,53.2,20.8,97.5,20.49,194.2,37.95,10360,86,Below LOD,182.9,20.07,12.82,86.6,167.2,,,,,,,,,,,,
MK6_HQ_01_16,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,4.802,0.18,0.3212,0.0061,0.29628,3.113325,0.05912604,0.1078,0.0035,0.51072,1784,32,1795,30,1764,58,261.8,148.6,1233,1.74,136500,186,645,2.86,717,0.098,22.21,0.095,1.09,2.23,0.471,13.08,4.34,57.8,22.63,112,24.68,250.1,51.2,10610,60,2.6,304.9,36.12,22.09,136,251.9,,,,,,,,,,,,
MK6_HQ_01_17,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.723,0.14,0.2768,0.0056,0.41862,3.612717,0.07308965,0.0971,0.0032,0.44285,1575,31,1575,28,1563,62,296.6,217.8,1547,1.346,133900,355,634,3.9,1018,0.67,28.05,0.23,2.49,2.63,0.318,15.67,6.14,82.4,33.5,166.1,35.93,348.7,69.9,11090,32,2.2,289.3,31.05,27.33,195.6,278.7,,,,,,,,,,,,
MK6_HQ_01_18,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.649,0.15,0.2772,0.0058,0.50961,3.607504,0.07548168,0.095,0.0036,0.17562,1560,34,1580,31,1523,71,185.2,146.4,1074,1.261,135800,318,667,7.9,1073,0.0136,16.43,0.055,0.96,2.96,0.387,17.22,6.6,88.5,35.63,170.7,36.45,358,70.7,11000,38,Below LOD,187.1,19.54,19.3,135,178.5,,,,,,,,,,,,
MK6_HQ_01_19,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,3.71,0.16,0.2762,0.0055,0.22495,3.620565,0.07209669,0.0981,0.004,0.25568,1574,34,1574,28,1578,77,105,85.1,636,1.229,131600,348,652,11.5,795,1.72,15.99,0.32,2.13,2.61,0.375,14.54,5.16,68.7,25.9,123.5,26.18,250,49.11,9780,109,Below LOD,102.7,11.12,11.25,76.2,99.2,0.281932775,3.06E-05,0.001250656,1574,0.281784049,0.282106056,0.28203193,0.281895518,3.955836001,1.070870994,2.031984666,1.871183866
MK6_HQ_01_2,Blades et al 2021,HQ-01,-23.7265,133.8664,Heavitree,2.692,0.13,0.1966,0.0061,0.84796,5.08647,0.1578203,0.0982,0.0032,0.037141,1324,35,1156,33,1584,61,413,538,1337,0.751,133900,732,640,31.4,2020,1.06,39.5,4.38,45.6,55.3,19.3,187,38.2,264,62.2,208,36.8,321,60.7,10860,66,2.9,312.1,32.94,25.52,528,415,,,,,,,,,,,,
