Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U
1.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.967709886,2.3,0.0785,1.5,1160,30,1182,25,274.5984634,419.9169694
2.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.184713376,3.9,0.0893,4.4,1412,84,1759,60,16.1117451,23.23759712
3.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.644681839,2.5,0.0832,1.8,1273,34,1257,28,205.519847,222.9656119
4.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.178854994,2.4,0.1054,1,1721,19,1383,30,51.74399877,480.4773068
5.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,2.859593938,2.7,0.1085,2.7,1775,49,1933,46,40.501935,104.300545
6.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.577817531,2.7,0.0909,2.3,1445,43,1589,38,74.58227725,121.2517666
7.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.174603175,2.3,0.10645,0.82,1739,15,1765,35,258.8432856,440.9874919
8.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.03030303,2.6,0.1049,2.5,1712,46,1838,42,107.3174221,131.0737203
9.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.07503075,2.8,0.1027,3,1674,55,1815,44,40.84530652,104.0264341
10.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.732607667,2.9,0.081,3.7,1223,72,1236,33,81.92811808,100.7038311
11.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.273322422,2.4,0.1026,1.2,1672,22,1718,36,128.8007624,238.7205747
12.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.594536305,2.7,0.1016,2.6,1654,48,1582,38,91.23464155,127.3727371
13.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.175983437,2.2,0.07618,1,1100,21,1139,23,86.4084049,636.0040323
14.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.173305742,2.4,0.0792,1.8,1178,35,1139,25,140.0178597,255.1549615
15.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,6.497725796,2.3,0.0984,1.5,1595,27,923,20,658.2400776,361.0027836
16.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,2.141327623,2.9,0.1549,1.1,2401,19,2472,59,37.62691963,131.6141497
17.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.196391104,2.9,0.0868,3,1358,57,1378,36,113.0047169,148.0414024
18.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.438789546,2.7,0.1001,2.2,1626,40,1646,39,86.48715112,124.9716489
19.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.302509908,2.9,0.1008,2.5,1639,46,1705,43,83.65060805,146.3281446
20.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.98089172,2.5,0.0965,1.8,1558,33,1445,32,106.042111,210.3814753
21.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.178663905,2.9,0.0807,3,1215,59,1138,30,104.8685458,104.3350746
22.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.169572108,2.3,0.1089,0.95,1782,17,1768,36,100.2823252,395.7497468
23.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,2.105263158,2.2,0.16737,0.56,2531.5,9.4,2504,47,282.2627035,509.1019411
24.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.490345757,2.4,0.132,9.5,2130,170,1296,28,323.1288133,574.7840601
25.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.107252298,4,0.0961,8.3,1549,160,1153,42,57.51953884,46.28854551
26.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.720823799,2.5,0.0755,2.7,1082,54,1039,24,47.4364362,264.2058061
27.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.88048118,2.2,0.0924,0.99,1476,19,1478,30,110.796148,707.1209597
28.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.006614552,2.6,0.1142,1.7,1867,30,1851,42,420.9312528,262.8398024
29.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.323389537,4.3,0.085,18,1320,340,1341,53,75.64371054,68.77459865
30.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.350454789,2.6,0.0742,7.2,1051,140,1105,27,248.9416411,386.13034
31.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,5.277044855,2.6,0.0789,2.4,1171,47,1119,27,204.9163396,363.1378905
32.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.943217666,3.3,0.0829,11,1270,220,1457,44,97.04199129,114.9792233
33.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.105590062,3.5,0.096,12,1545,230,1798,56,83.00153234,98.67425295
34.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.556187767,2,0.0938,1.2,1503,24,1597,29,216.1938238,126.9511795
35.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.039513678,2.1,0.1024,1.5,1669,28,1834,34,57.69786203,104.4941084
36.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.565062389,2.1,0.0953,1.4,1534,27,1594,29,100.4171738,116.8188847
37.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.415300546,1.9,0.09708,1,1569,19,1656,28,170.6744563,180.6460858
38.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,4.480286738,2,0.0845,1.4,1303,27,1299,24,122.2202255,149.6577247
39.1,Camacho et al 2015,CE-54,-24.8830866,129.1450422,Dean,3.325573661,2,0.1003,1.3,1630,24,1695,29,145.9672906,178.9948696
