Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_abs,Pb207Pb206,Pb207Pb206_error_1s_abs,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error,Yb176Hf177,epsilon_Hf,TDM
19.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,4.863,0.022,0.08004,0.00099,1198,24,1206,6,195,242,0.28201,0.000012,0.000989,,0.036313,-1.2,2.1
40.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.56,0.023,0.09856,0.00143,1597,27,1596,12,70,104,0.281944,0.000008,0.000846,,0.039542,5.3,2
17.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.485,0.018,0.09915,0.00115,1608,22,1626,10,114,163,,,,,,,
21.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.461,0.014,0.10007,0.0008,1625,15,1636,8,65,312,0.281589,0.000012,0.000934,,0.045007,-6.7,2.8
5.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.447,0.019,0.1018,0.00118,1657,22,1642,10,113,163,,,,,,,
49.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.179,0.022,0.10497,0.00152,1714,27,1763,14,90,118,0.28173,0.000016,0.001199,,0.063483,-0.1,2.4
14.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.266,0.019,0.10497,0.00135,1714,24,1722,12,204,132,,,,,,,
60.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.204,0.026,0.10611,0.00125,1734,22,1751,16,92,80,0.281631,0.000008,0.000595,,0.029743,-2.5,2.6
56.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.238,0.02,0.10694,0.00096,1748,16,1735,13,71,251,,,,,,,
10.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.185,0.025,0.10721,0.00123,1753,21,1760,16,60,138,0.281585,0.000011,0.001257,,0.064653,-4.5,2.7
1.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.231,0.017,0.1073,0.00159,1754,27,1738,11,200,198,,,,,,,
32.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.286,0.015,0.10771,0.00091,1761,15,1712,9,139,256,0.281603,0.000014,0.000812,,0.038532,-3.1,2.7
45.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.159,0.016,0.10773,0.00106,1761,18,1773,10,53,222,,,,,,,
62.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.186,0.036,0.10778,0.00079,1762,13,1760,23,93,196,0.281606,0.000016,0.0007,,0.03086,-2.8,2.6
15.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.153,0.017,0.10815,0.00115,1768,19,1776,11,37,156,,,,,,,
55.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.212,0.018,0.1082,0.00183,1769,31,1747,11,89,169,0.281615,0.000013,0.000777,,0.034083,-2.5,2.6
43.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.199,0.017,0.10821,0.00113,1769,19,1754,11,68,173,,,,,,,
59.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.179,0.018,0.10838,0.00211,1772,35,1763,11,109,182,0.281592,0.000013,0.000942,,0.046005,-3.4,2.7
66.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.102,0.036,0.10848,0.00091,1774,15,1801,24,62,128,,,,,,,
18.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.222,0.012,0.1088,0.00075,1779,13,1743,8,240,361,0.281615,0.000014,0.000835,,0.038919,-2.3,2.6
4.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.171,0.015,0.10885,0.001,1780,17,1767,10,125,207,,,,,,,
28.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.236,0.018,0.10885,0.00112,1780,19,1736,11,98,145,0.28163,0.000014,0.00107,,0.037395,-2,2.6
12.1,Kirkland et al 2009a,184339,-22.80914,127.5142,Heavitree,3.273,0.018,0.10897,0.00087,1782,14,1719,11,201,309,,,,,,,
46.1,Hollis et al 2013,184339,-22.80914,127.5142,Heavitree,3.202,0.017,0.10901,0.00111,1783,19,1752,11,153,187,0.281669,0.000012,0.001063,,0.051579,-0.6,2.5
