Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
1.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.12284734,1.256145091,0.110838916,0.822201739,1813.214517,14.93426241,,,186.4282168,213.7554046,0.281765,0.00002475,0.0011015,0.0000005,,3.444913866,2.208800473
10.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.238944151,1.112430597,0.10739213,0.342835856,1755.629713,6.271610913,,,103.9304167,490.8508284,0.281658,0.000022,0.0010168,0.00000165,,-1.519546035,2.48164189
11.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.634166227,1.27482355,0.098307,0.671394278,1592.256343,12.54035026,,,315.762908,181.141934,0.281561,0.00002375,0.0005481,0.00000065,,-8.050592994,2.770154194
12.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.32288465,1.338483923,0.104804629,0.681813596,1710.889298,12.54274589,,,63.0340258,141.3213834,0.281684,0.0000225,0.0006813,0.00000175,,-1.194871272,2.426583984
13.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.134848173,1.270281604,0.108541873,0.575993239,1775.086982,10.51141856,,,136.5651488,186.3181506,0.28171,0.00002425,0.0007331,0.0000048,,1.094180177,2.329899907
15.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.267166346,1.166130454,0.107346682,0.426804313,1754.855355,7.808426664,,,132.0335879,325.341128,0.281694,0.0000215,0.0009844,0.0000029,,-0.182805575,2.397168121
16.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.310591585,1.295023373,0.107446345,1.223957011,1756.552932,22.38768217,,,73.81883088,159.2840414,0.281689,0.00002425,0.0005985,0.0000017,,0.833362554,2.357702017
17.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.18457206,1.270877981,0.109409313,0.553460025,1789.600302,10.08211374,,,276.7020898,183.2977676,0.28168,0.000025,0.001037,0.000008,,-1.091528503,2.44288456
18.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.309183523,1.126802893,0.106518112,0.37927031,1740.666701,6.951080718,,,160.6863279,433.8217309,0.28176,0.0000275,0.001379,0.0000065,,1.847207591,2.272955059
19.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.263116419,1.388433277,0.107861009,0.79145762,1763.595341,14.46406647,,,73.57942569,126.3074965,0.28165,0.0000275,0.000752,0.0000065,,-6.080482705,2.611767153
2.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.434736698,1.132245446,0.102340083,0.391117654,1666.991099,7.235238455,,,8.700571815,443.948744,0.281669,0.0000205,0.0020919,0.00000135,,-4.283544076,2.589187972
20.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.529076756,1.810018519,0.096029576,1.281217992,1548.350901,24.06886404,,,58.01675077,50.72815615,0.2816,0.00003,0.00053542,0.000000485,,-7.629624148,2.709744624
21.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.302220353,1.37794817,0.103753968,0.742111162,1692.332459,13.68404882,,,31.63308527,126.8158181,0.28154,0.000025,0.00002659,0.000000305,,-5.973665595,2.715822269
22.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.62739837,1.500471781,0.097066895,0.972554228,1568.50801,18.22193988,,,125.1775848,93.12949252,0.28205,0.0000275,0.00106,0.00000225,,8.235577658,1.713238711
23.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.287857169,1.723023226,0.106400259,1.052752949,1738.637548,19.29923733,,,35.51689973,56.82499781,0.28159,0.000025,0.0004704,0.0000018,,-3.668362892,2.605229168
24.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,2.086419415,1.22247597,0.165741725,0.348595056,2515.095013,5.859075765,,,98.05627854,229.6944894,0.28116,0.000025,0.0004543,0.0000008,,-1.40193534,3.0561465
25.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.058443838,1.174872791,0.11177437,0.426390506,1828.465734,7.730431082,,,242.8647388,311.2220102,0.28143,0.000025,0.0002628,0.0000005,,-7.081942539,2.890659688
26.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.558213028,1.424019695,0.101038695,0.857331231,1643.280583,15.90789973,,,64.85524346,114.3839644,0.281911,0.0000235,0.0004897,0.0000019,,5.572476302,1.941898885
27.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.180951451,1.257016486,0.107254445,0.560485862,1753.282528,10.25615231,,,173.5544753,203.0557204,0.28168,0.0000275,0.001015,0.000007,,-0.788034249,2.43324021
28.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.229434187,1.24924986,0.105516675,0.536758279,1723.335679,9.858831943,,,85.09124219,204.0255502,0.28172,0.000025,0.0002917,0.00000055,,0.811547192,2.308199778
29.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,5.232718203,1.31953848,0.077086575,1.056536229,1123.430243,21.062709,,,196.0022264,156.2468343,0.28202,0.0000275,0.0011044,0.00000205,,-2.568151832,2.0614629
