Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_abs,Pb207Pb206,Pb207Pb206_error_1s_abs,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U
1.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.34798,0.05288,0.10501,0.00125,1714.44,22.01,1684.8,23.46,128.56,131.51
2.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.2308,0.06556,0.10745,0.00132,1756.63,22.56,1738.35,30.99,37.45,107.97
3.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,5.15223,0.09723,0.07699,0.00195,1120.89,51.37,1143.5,19.8,73.18,89.14
4.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.27758,0.04836,0.103,0.00128,1678.85,23.06,1716.57,22.28,61.61,92.97
5.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.49406,0.06175,0.10216,0.00102,1663.82,18.56,1622.51,25.4,116.14,119.41
6.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.65967,0.05582,0.09492,0.00085,1526.42,16.97,1557.27,21.14,96.35,148.25
7.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.58551,0.12659,0.09218,0.00599,1471.01,128.57,1585.82,49.83,22.34,18.45
8.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.52656,0.08221,0.09974,0.00109,1619.32,20.42,1609.28,33.29,80.41,110.82
9.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.41454,0.05255,0.09888,0.00089,1603.08,16.82,1655.83,22.51,68.02,106.71
10.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.76114,0.06302,0.09875,0.00129,1600.64,24.55,1519.84,22.73,217.08,207.43
11.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,5.1521,0.11639,0.07865,0.00117,1163.4,29.83,1143.52,23.72,182.36,161.48
12.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.18798,0.03952,0.1087,0.00091,1777.69,15.31,1758.78,19.11,53.94,127.71
13.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.57083,0.05443,0.09878,0.00144,1601.25,27.44,1591.6,21.53,68.38,122.02
14.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.19213,0.03075,0.10771,0.00065,1760.97,11,1756.78,14.83,109.64,321.96
15.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.52586,0.08502,0.09809,0.00111,1588.12,21.2,1609.56,34.44,102.72,123.71
16.1,Maidment et al 2007,2002080308,-23.47608,134.98989,Heavitree,3.17461,0.04493,0.11047,0.00105,1807.13,17.42,1765.26,21.89,62.44,128.89
