Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
340-1,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,4.222721135,1.586978251,0.107486814,1.058338947,1757.241708,19.35666464,1339.070504,20.55759548,1293.3177,355.4683125,,,,,,,
340-10,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.188971854,1.076705049,0.106520213,0.680525119,1740.702855,12.47227513,1758.303052,18.56989401,88.4733717,194.042184,0.2818,0.1409,0.000914,0.000021,,3.31,2.162
340-100,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,4.660861467,1.192185603,0.103617765,0.629587103,1689.909865,11.61274416,1222.699147,14.07294441,816.8686041,426.5584242,,,,,,,
340-101,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.174602639,1.130578456,0.107174677,0.785126465,1751.920978,14.36921636,1765.264825,19.59134591,93.9525667,246.7357244,0.28179,0.140895,0.000829,0.000018,,3.31,2.171
340-102,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.869847148,1.349614609,0.10059339,1.697273942,1635.080427,31.52639269,1468.522561,19.35406678,66.32358506,63.88096972,0.28211,0.141055,0.000675,0.000014,,12.25,1.505
340-103,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.213241953,1.153019629,0.170622547,0.577143137,2563.759082,9.654093044,2359.640831,28.47110846,150.3648506,211.1182074,0.28156,0.14078,0.001253,0.000027,,12.54,2.196
340-104,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.045565347,1.054656772,0.112371711,0.658875015,1838.123192,11.93132444,1829.372851,18.98886719,91.95460544,159.1493377,0.28178,0.14089,0.001346,0.00004,,4.22,2.178
340-105,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.298035566,3.060609957,0.104582261,1.071818427,1706.981,19.7270565,1707.210734,50.94873271,181.6848737,381.8997915,0.28182,0.14091,0.001808,0.000071,,2.25,2.204
340-106,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.073401469,1.258222405,0.164307765,0.728752959,2500.479504,12.26645564,2537.272768,34.86030358,126.6799176,73.10802752,0.28143,0.140715,0.000935,0.000011,,7.05,2.503
340-107,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.082978957,1.112425088,0.10977397,0.747736392,1795.659438,13.61099107,1810.994586,19.83220888,83.7748978,231.3184365,0.281679,0.1408395,0.001468,0.000011,,-0.44,2.443
