Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U
1.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.23,20,0.1663,22,2521,23,2390,91,207,95
2.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.75,20,0.1053,27,1719,48,1996,82,,
3.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.37,20,0.1062,26,1735,46,1676,68,114,150
4.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.97,20,0.0897,47,1418,104,1447,59,70,143
5.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.64,20,0.1045,27,1705,48,1564,61,241,376
6.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.32,20,0.1102,24,1802,40,1694,68,90,114
7.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.72,20,0.111,54,1816,91,2019,82,250,582
8.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.74,20,0.1079,24,1764,41,2005,80,241,669
9.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.14,20,0.1101,24,1801,40,1780,71,126,262
9.2,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.66,20,0.1094,23,1789,21,1554,60,168,467
10.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.8,20,0.0744,53,1051,150,1504,77,5439,1850
11.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.28,20,0.1098,13,1795,21,1714,66,226,435
12.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.08,20,0.1142,20,1867,32,1815,71,139,249
14.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.85,20,0.1063,19,1737,34,1937,76,117,152
15.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.31,20,0.117,11,1911,17,1700,65,99,494
16.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.69,20,0.0993,37,1611,71,1546,61,81,162
17.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.83,20,0.0921,67,1470,144,1493,61,105,126
18.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.44,20,0.1033,28,1685,51,1646,67,62,88
19.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.65,20,0.0917,45,1460,97,1560,63,82,136
20.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,4.17,20,0.0973,28,1573,54,1388,54,689,718
21.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.44,20,0.0942,31,1512,63,1648,65,240,375
22.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.7,20,0.1006,24,1636,46,2029,82,29517,44722
23.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.46,20,0.0999,37,1622,71,1638,70,219,241
24.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,2.83,20,0.1076,27,1758,47,1950,77,175,408
25.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,8.85,20,0.0793,34,1180,86,690,28,1259,1134
25.2,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,7.75,20,0.0909,29,1445,63,782,32,1255,789
25.3,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.7,20,0.0913,15,1452,32,1541,61,243,282
26.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,1.88,20,0.2024,20,2845,16,2748,101,227,302
26.2,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,1.52,20,0.1986,25,2814,21,3251,119,389,608
27.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.41,20,0.1089,19,1781,32,1656,65,274,449
28.1,Zhao et al 1992,HQ-1,-23.72861,133.865,Heavitree,3.65,20,0.0989,15,1603,29,1562,61,190,223
